PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;PopulærnavnBokmål;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnNynorsk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnSamisk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar
"1372";"Plantae";;"Pinophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"1372";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"17.12.2012 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1372;1372;"Nei";"nakenfrøete blomsterplanter";;"Bokmål";"Ja";"17.12.2012 00:00:00";"17.12.2012 00:00:00";;;;;;;;;;;;;;;;
"1375";"Plantae";;"Prasinophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"1375";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1375;1375;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1378";"Plantae";;"Psilophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"1378";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1378;1378;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1381";"Plantae";;"Pteridophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"1381";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"10.01.2013 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1381;1381;"Nei";"karsporeplanter";;"Bokmål";"Ja";"10.01.2013 00:00:00";"10.01.2013 00:00:00";;"karsporeplanter";;"Nynorsk";"Ja";"10.01.2013 00:00:00";"10.01.2013 00:00:00";;;;;;;;;
"1395";"Plantae";;"Rhodophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"1395";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"07.02.2012 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1395;1395;"Nei";"rødalger";;"Bokmål";"Ja";"18.09.2009 16:29:19";"18.09.2009 16:29:19";;"raudalgar";;"Nynorsk";"Ja";"07.02.2012 00:00:00";"07.02.2012 00:00:00";;;;;;;;;
"138364";"Plantae";;"Equisetophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"129872";;;"Gyldig";"Ingen_bistatus";"20.03.2014 00:00:00";"20.03.2014 00:00:00";;;;;96556;138364;"Nei";;;;;;;;;;;;;;;;;;;;;;
"138365";"Plantae";;"Lycopodiophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"129873";;;"Gyldig";"Ingen_bistatus";"20.03.2014 00:00:00";"20.03.2014 00:00:00";;;;;96557;138365;"Nei";;;;;;;;;;;;;;;;;;;;;;
"138367";"Plantae";;"Lycopodiophyta";;;"Lycopodiopsida";;;;;;;;;;;;;;;;;;;;"138365";"129875";;;"Gyldig";"Ingen_bistatus";"20.03.2014 00:00:00";"20.03.2014 00:00:00";;;;;96559;138367;"Nei";;;;;;;;;;;;;;;;;;;;;;
"138366";"Plantae";;"Equisetophyta";;;"Equisetopsida";;;;;;;;;;;;;;;;;;;;"138364";"129874";;;"Gyldig";"Ingen_bistatus";"20.03.2014 00:00:00";"20.03.2014 00:00:00";;;;;96558;138366;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1396";"Plantae";;"Rhodophyta";;;"Bangiophyceae";;;;;;;;;;;;;;;;;;;;"1395";"1396";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1396;1396;"Nei";;;;;;;;;;;;;;;;;;;;;;
